Date,SP500,Russell,NASDAQ
2001-01-03,1347.560059,484.39,2616.69
2001-01-04,1333.339966,477.2,2566.83
2001-01-05,1298.349976,463.14,2407.65
2001-01-08,1295.859985,461.64,2395.92
2001-01-09,1300.800049,463.95,2441.3
2001-01-10,1313.27002,475.45,2524.18
2001-01-11,1326.819946,483.86,2640.57
2001-01-12,1318.550049,485.75,2626.5
2001-01-15,1318.550049,485.75,2626.5
2001-01-16,1326.650024,493.28,2618.55
2001-01-17,1329.469971,493.46,2682.78
2001-01-18,1347.969971,494.63,2768.49
2001-01-19,1342.540039,488.09,2770.38
2001-01-22,1342.900024,490.15,2757.91
2001-01-23,1360.400024,502.06,2840.39
2001-01-24,1364.300049,502.25,2859.15
2001-01-25,1357.51001,499.0,2754.28
2001-01-26,1354.949951,498.68,2781.3
2001-01-29,1364.170044,507.91,2838.34
2001-01-30,1373.72998,511.66,2838.35
2001-01-31,1366.01001,508.34,2772.73
2001-02-01,1373.469971,508.94,2782.79
2001-02-02,1349.469971,501.5,2660.5
2001-02-05,1354.310059,500.74,2643.21
2001-02-06,1352.26001,505.76,2664.49
2001-02-07,1340.890015,507.08,2607.82
2001-02-08,1332.530029,502.89,2562.06
2001-02-09,1314.76001,497.05,2470.97
2001-02-12,1330.310059,505.35,2489.66
2001-02-13,1318.800049,502.57,2427.72
2001-02-14,1315.920044,503.49,2491.4
2001-02-15,1326.609985,508.85,2552.91
2001-02-16,1301.530029,499.28,2425.38
2001-02-19,1301.530029,499.28,2425.38
2001-02-20,1278.939941,491.14,2318.35
2001-02-21,1255.27002,483.51,2268.94
2001-02-22,1252.819946,477.26,2244.96
2001-02-23,1245.859985,477.45,2262.51
2001-02-26,1267.650024,488.31,2308.5
2001-02-27,1257.939941,478.75,2207.82
2001-02-28,1239.939941,474.37,2151.83
2001-03-01,1241.22998,473.3,2183.37
2001-03-02,1234.180054,476.88,2117.63
2001-03-05,1241.410034,475.79,2142.92
2001-03-06,1253.800049,481.13,2204.43
2001-03-07,1261.890015,484.84,2223.92
2001-03-08,1264.73999,481.49,2168.73
2001-03-09,1233.420044,473.65,2052.78
2001-03-12,1180.160034,458.4,1923.38
2001-03-13,1197.660034,462.26,2014.78
2001-03-14,1166.709961,453.69,1972.09
2001-03-15,1173.560059,452.16,1940.71
2001-03-16,1150.530029,441.8,1890.91
2001-03-19,1170.810059,451.27,1951.18
2001-03-20,1142.619995,444.48,1857.44
2001-03-21,1122.140015,435.74,1830.23
2001-03-22,1117.579956,432.8,1897.7
2001-03-23,1139.829956,443.27,1928.68
2001-03-26,1152.689941,447.38,1918.49
2001-03-27,1182.170044,452.88,1972.26
2001-03-28,1153.290039,442.2,1854.13
2001-03-29,1147.949951,441.53,1820.57
2001-03-30,1160.329956,450.53,1840.26
2001-04-02,1145.869995,439.76,1782.97
2001-04-03,1106.459961,426.96,1673.0
2001-04-04,1103.25,425.74,1638.8
2001-04-05,1151.439941,444.73,1785.0
2001-04-06,1128.430054,434.66,1720.36
2001-04-09,1137.589966,441.67,1745.71
2001-04-10,1168.380005,451.84,1852.03
2001-04-11,1165.890015,449.25,1898.95
2001-04-12,1183.5,455.02,1961.43
2001-04-13,1183.5,455.02,1961.43
2001-04-16,1179.680054,450.9,1909.57
2001-04-17,1191.810059,455.58,1923.22
2001-04-18,1238.160034,466.51,2079.44
2001-04-19,1253.689941,472.4,2182.14
2001-04-20,1242.97998,466.71,2163.41
2001-04-23,1224.359985,461.07,2059.32
2001-04-24,1209.469971,462.35,2016.61
2001-04-25,1228.75,472.74,2059.8
2001-04-26,1234.52002,477.56,2034.88
2001-04-27,1253.050049,483.97,2075.68
2001-04-30,1249.459961,485.32,2116.24
2001-05-01,1266.439941,490.47,2168.24
2001-05-02,1267.430054,491.64,2220.6
2001-05-03,1248.579956,485.65,2146.2
2001-05-04,1266.609985,492.89,2191.53
2001-05-07,1263.51001,489.64,2173.57
2001-05-08,1261.199951,491.77,2198.77
2001-05-09,1255.540039,490.18,2156.63
2001-05-10,1255.180054,490.58,2128.86
2001-05-11,1245.670044,487.36,2107.43
2001-05-14,1248.920044,486.64,2081.92
2001-05-15,1249.439941,489.63,2085.58
2001-05-16,1284.98999,497.21,2166.44
2001-05-17,1288.48999,504.76,2193.68
2001-05-18,1291.959961,506.28,2198.88
2001-05-21,1312.829956,515.91,2305.59
2001-05-22,1309.380005,517.23,2313.85
2001-05-23,1289.050049,507.36,2243.48
2001-05-24,1293.170044,510.4,2282.02
2001-05-25,1277.890015,508.62,2251.03
2001-05-28,1277.890015,508.62,2251.03
2001-05-29,1267.930054,502.37,2175.54
2001-05-30,1248.079956,493.96,2084.5
2001-05-31,1255.819946,496.5,2110.49
2001-06-01,1260.670044,501.72,2149.44
2001-06-04,1267.109985,507.32,2155.93
2001-06-05,1283.569946,516.48,2233.66
2001-06-06,1270.030029,512.58,2217.73
2001-06-07,1276.959961,514.77,2264.0
2001-06-08,1264.959961,511.64,2215.1
2001-06-11,1254.390015,506.93,2170.78
2001-06-12,1255.849976,506.93,2169.95
2001-06-13,1241.599976,505.12,2121.66
2001-06-14,1219.869995,495.38,2044.07
2001-06-15,1214.359985,495.13,2028.43
2001-06-18,1208.430054,490.53,1988.63
2001-06-19,1212.579956,488.73,1992.66
2001-06-20,1223.140015,495.86,2031.24
2001-06-21,1237.040039,497.82,2058.76
2001-06-22,1225.349976,488.65,2034.84
2001-06-25,1218.599976,484.19,2050.87
2001-06-26,1216.76001,490.82,2064.62
2001-06-27,1211.069946,495.58,2074.74
2001-06-28,1226.199951,502.99,2125.46
2001-06-29,1224.380005,512.64,2160.54
2001-07-02,1236.719971,498.39,2148.72
2001-07-03,1234.449951,496.83,2140.8
2001-07-04,1234.449951,496.83,2140.8
2001-07-05,1219.23999,492.73,2080.11
2001-07-06,1190.589966,483.26,2004.16
2001-07-09,1198.780029,485.98,2026.71
2001-07-10,1181.52002,478.14,1962.79
2001-07-11,1180.180054,475.83,1972.04
2001-07-12,1208.140015,489.04,2075.74
2001-07-13,1215.680054,490.71,2084.79
2001-07-16,1202.449951,483.8,2029.12
2001-07-17,1214.439941,490.57,2067.32
2001-07-18,1207.709961,483.62,2016.17
2001-07-19,1215.02002,487.54,2046.59
2001-07-20,1210.849976,487.93,2029.37
2001-07-23,1191.030029,482.7,1988.56
2001-07-24,1171.650024,474.26,1959.24
2001-07-25,1190.48999,476.99,1984.32
2001-07-26,1202.930054,485.07,2022.96
2001-07-27,1205.819946,485.01,2029.07
2001-07-30,1204.52002,484.71,2017.84
2001-07-31,1211.22998,484.78,2027.13
2001-08-01,1215.930054,489.24,2068.38
2001-08-02,1220.75,488.99,2087.38
2001-08-03,1214.349976,487.15,2066.33
2001-08-06,1200.47998,480.96,2034.26
2001-08-07,1204.400024,480.33,2027.79
2001-08-08,1183.530029,472.62,1966.36
2001-08-09,1183.430054,474.17,1963.32
2001-08-10,1190.160034,475.52,1956.47
2001-08-13,1191.290039,477.6,1982.25
2001-08-14,1186.72998,480.19,1964.53
2001-08-15,1178.02002,478.95,1918.89
2001-08-16,1181.660034,481.68,1930.32
2001-08-17,1161.969971,475.65,1867.01
2001-08-20,1171.410034,478.87,1881.35
2001-08-21,1157.26001,472.24,1831.3
2001-08-22,1165.310059,477.18,1860.01
2001-08-23,1162.089966,473.42,1842.97
2001-08-24,1184.930054,480.81,1916.8
2001-08-27,1179.209961,478.93,1912.41
2001-08-28,1161.51001,474.2,1864.98
2001-08-29,1148.560059,473.34,1843.17
2001-08-30,1129.030029,468.06,1791.68
2001-08-31,1133.579956,468.56,1805.43
2001-09-03,1133.579956,468.56,1805.43
2001-09-04,1132.939941,466.96,1770.78
2001-09-05,1131.73999,462.51,1759.01
2001-09-06,1106.400024,453.39,1705.64
2001-09-07,1085.780029,445.19,1687.7
2001-09-10,1092.540039,440.73,1695.38
2001-09-11,1092.540039,440.73,1695.38
2001-09-12,1092.540039,440.73,1695.38
2001-09-13,1092.540039,440.73,1695.38
2001-09-14,1092.540039,440.73,1695.38
2001-09-17,1038.77002,417.67,1579.55
2001-09-18,1032.73999,411.66,1555.08
2001-09-19,1016.099976,403.2,1527.8
2001-09-20,984.539978,387.65,1470.93
2001-09-21,965.799988,378.89,1423.19
2001-09-24,1003.450012,393.79,1499.4
2001-09-25,1012.27002,396.18,1501.64
2001-09-26,1007.039978,389.79,1464.04
2001-09-27,1018.609985,392.96,1460.71
2001-09-28,1040.939941,404.87,1498.8
2001-10-01,1038.550049,397.6,1480.46
2001-10-02,1051.329956,401.79,1492.33
2001-10-03,1072.280029,413.22,1580.81
2001-10-04,1069.630005,417.04,1597.31
2001-10-05,1071.380005,414.97,1605.3
2001-10-08,1062.439941,412.18,1605.95
2001-10-09,1056.75,408.68,1570.19
2001-10-10,1080.98999,421.66,1626.26
2001-10-11,1097.430054,431.04,1701.47
2001-10-12,1091.650024,428.59,1703.4
2001-10-15,1089.97998,430.09,1696.31
2001-10-16,1097.540039,434.53,1722.07
2001-10-17,1077.089966,424.49,1646.34
2001-10-18,1068.609985,421.06,1652.72
2001-10-19,1073.47998,425.7,1671.31
2001-10-22,1089.900024,430.5,1708.08
2001-10-23,1084.780029,427.37,1704.44
2001-10-24,1085.199951,427.65,1731.54
2001-10-25,1100.089966,435.96,1775.47
2001-10-26,1104.609985,438.65,1768.96
2001-10-29,1078.300049,429.41,1699.52
